yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
64.0,34105.0,2.0,9.0,Istanbul,Standart,1
68.0,18230.0,54.0,2.0,Antalya,Standart,0
61.0,23707.0,35.0,0.0,Antalya,Vip,0
69.0,29976.0,16.0,7.0,Ankara,Premium,1
20.0,52262.0,41.0,2.0,Ankara,Standart,0
54.0,31776.0,36.0,9.0,Ankara,Standart,0
68.0,38080.0,33.0,6.0,Antalya,Standart,1
24.0,9306.0,4.0,9.0,Izmir,Standart,1
38.0,14776.0,33.0,4.0,Antalya,Standart,0
26.0,35251.0,14.0,9.0,Izmir,Premium,1
56.0,17474.0,21.0,4.0,Izmir,Standart,0
35.0,48294.0,48.0,6.0,Ankara,Premium,0
21.0,29959.0,20.0,8.0,Bursa,Vip,0
42.0,13530.0,56.0,4.0,Istanbul,Standart,0
31.0,37320.0,8.0,0.0,Ankara,Premium,0
67.0,,7.0,9.0,Ankara,Premium,1
26.0,39968.0,3.0,9.0,,Standart,1
43.0,40562.0,17.0,0.0,Istanbul,Standart,0
19.0,21545.0,33.0,1.0,Antalya,Premium,0
37.0,8663.0,48.0,5.0,Antalya,Premium,0
45.0,42766.0,12.0,8.0,Ankara,Premium,1
64.0,15994.0,59.0,7.0,Istanbul,Vip,0
24.0,36021.0,51.0,4.0,Ankara,Premium,0
61.0,38303.0,22.0,0.0,Izmir,Vip,0
25.0,58647.0,55.0,6.0,Ankara,Premium,0
64.0,11304.0,22.0,4.0,Ankara,Premium,1
52.0,59005.0,46.0,5.0,Antalya,Premium,0
,54576.0,30.0,6.0,Antalya,Standart,0
34.0,47353.0,38.0,2.0,Antalya,Premium,0
53.0,25675.0,38.0,9.0,Izmir,Premium,1
67.0,52417.0,45.0,2.0,Antalya,Standart,0
57.0,31938.0,51.0,4.0,Istanbul,Vip,0
21.0,31664.0,54.0,5.0,Bursa,Standart,0
,9636.0,8.0,8.0,Istanbul,Premium,1
23.0,,27.0,4.0,Istanbul,Premium,0
59.0,35728.0,27.0,0.0,Antalya,Premium,0
21.0,57850.0,34.0,3.0,Bursa,Standart,0
46.0,34736.0,21.0,4.0,Bursa,Premium,0
35.0,36673.0,30.0,9.0,,Premium,0
43.0,45505.0,33.0,9.0,Izmir,Standart,0
61.0,55323.0,28.0,4.0,Antalya,Standart,0
51.0,54645.0,47.0,6.0,Bursa,Premium,0
27.0,8854.0,33.0,3.0,Izmir,Standart,1
53.0,32548.0,5.0,0.0,Ankara,Standart,0
31.0,46623.0,48.0,4.0,Ankara,Premium,0
,15392.0,19.0,6.0,Izmir,Standart,1
65.0,54717.0,4.0,9.0,Izmir,Premium,1
32.0,29556.0,35.0,9.0,Antalya,Standart,1
25.0,58859.0,49.0,5.0,Antalya,Premium,0
31.0,46559.0,17.0,4.0,Ankara,Standart,0
40.0,34309.0,44.0,3.0,Bursa,Premium,0
57.0,29919.0,28.0,1.0,Ankara,Standart,0
38.0,12931.0,30.0,3.0,Bursa,Premium,0
33.0,,29.0,9.0,Bursa,Standart,0
62.0,52215.0,46.0,9.0,Antalya,Vip,0
35.0,20688.0,53.0,2.0,Istanbul,Premium,0
64.0,33342.0,6.0,9.0,Istanbul,Vip,1
41.0,45157.0,35.0,0.0,Izmir,Premium,0
43.0,10327.0,41.0,7.0,,Standart,0
,48772.0,37.0,4.0,Bursa,Premium,1
62.0,48545.0,24.0,3.0,Istanbul,Standart,0
58.0,8197.0,29.0,7.0,Bursa,Standart,1
46.0,31509.0,49.0,6.0,Istanbul,Standart,0
32.0,42698.0,46.0,1.0,Istanbul,Premium,0
62.0,,53.0,0.0,Istanbul,Premium,0
18.0,23087.0,31.0,3.0,Antalya,Standart,0
42.0,30671.0,35.0,7.0,Ankara,Vip,0
24.0,33184.0,33.0,1.0,Bursa,Standart,0
26.0,35848.0,52.0,2.0,Antalya,Standart,0
41.0,50107.0,21.0,0.0,Antalya,Standart,0
18.0,28666.0,32.0,0.0,Antalya,Standart,0
61.0,52357.0,23.0,2.0,Antalya,Standart,0
25.0,59663.0,33.0,4.0,Antalya,Premium,0
41.0,23708.0,3.0,2.0,Izmir,Premium,0
28.0,34370.0,18.0,0.0,,Standart,0
68.0,57811.0,25.0,0.0,Antalya,Standart,0
34.0,10811.0,42.0,7.0,Bursa,Standart,1
25.0,55011.0,31.0,9.0,Izmir,Vip,1
52.0,14546.0,54.0,1.0,Izmir,Standart,0
52.0,42754.0,58.0,2.0,Bursa,Premium,0
50.0,38206.0,3.0,1.0,Istanbul,Vip,0
22.0,49106.0,40.0,2.0,Ankara,Premium,0
59.0,19411.0,46.0,6.0,Istanbul,Vip,0
56.0,10911.0,24.0,0.0,Istanbul,Standart,0
58.0,,50.0,9.0,Istanbul,Premium,1
45.0,26227.0,32.0,7.0,Antalya,Premium,0
24.0,16680.0,47.0,9.0,Izmir,Premium,1
26.0,27360.0,22.0,9.0,Istanbul,Standart,1
,26343.0,23.0,9.0,Izmir,Standart,1
29.0,13759.0,2.0,1.0,Bursa,Standart,0
51.0,31078.0,27.0,2.0,Ankara,Premium,0
50.0,43153.0,42.0,8.0,Bursa,Premium,1
65.0,19111.0,2.0,6.0,Bursa,Premium,1
40.0,45504.0,26.0,3.0,Antalya,Standart,0
41.0,9802.0,17.0,9.0,Ankara,Vip,1
54.0,16155.0,40.0,4.0,Bursa,Standart,1
52.0,16120.0,33.0,1.0,Bursa,Standart,0
61.0,47384.0,9.0,7.0,Ankara,Standart,0
57.0,55025.0,43.0,3.0,Ankara,Premium,0
39.0,55254.0,54.0,8.0,Bursa,Standart,0
44.0,29918.0,48.0,4.0,Ankara,Premium,0
52.0,28445.0,39.0,8.0,Bursa,Premium,1
18.0,38306.0,29.0,3.0,Bursa,Standart,0
52.0,24646.0,42.0,9.0,Antalya,Premium,0
54.0,54843.0,55.0,4.0,Istanbul,Standart,0
64.0,39065.0,26.0,8.0,Bursa,Standart,0
31.0,33199.0,35.0,7.0,Izmir,Standart,0
20.0,49976.0,50.0,2.0,Istanbul,Standart,0
18.0,24371.0,25.0,0.0,Istanbul,Premium,0
22.0,19835.0,24.0,2.0,Istanbul,Standart,0
43.0,53936.0,13.0,3.0,Antalya,Premium,0
31.0,10049.0,58.0,1.0,Bursa,Premium,0
56.0,39616.0,7.0,0.0,Antalya,Premium,0
44.0,46191.0,57.0,6.0,Bursa,Premium,0
